Serial Number,Product Name,Input Image Urls,Output Image Urls
BDCQ.SEA1AA,2011.06,80078,80078?compressed=50
BDCQ.SEA1AA,2011.09,78324,78324?compressed=50
BDCQ.SEA1AA,2011.12,85850,85850?compressed=50
BDCQ.SEA1AA,2012.03,90743,90743?compressed=50
BDCQ.SEA1AA,2012.06,81780,81780?compressed=50
BDCQ.SEA1AA,2012.09,79261,79261?compressed=50
BDCQ.SEA1AA,2012.12,87793,87793?compressed=50
BDCQ.SEA1AA,2013.03,91571,91571?compressed=50
BDCQ.SEA1AA,2013.06,81687,81687?compressed=50
BDCQ.SEA1AA,2013.09,81471,81471?compressed=50
BDCQ.SEA1AA,2013.12,93950,93950?compressed=50
BDCQ.SEA1AA,2014.03,97208,97208?compressed=50
BDCQ.SEA1AA,2014.06,85879,85879?compressed=50
BDCQ.SEA1AA,2014.09,84447,84447?compressed=50
BDCQ.SEA1AA,2014.12,95075,95075?compressed=50
BDCQ.SEA1AA,2015.03,98202,98202?compressed=50
BDCQ.SEA1AA,2015.06,87987,87987?compressed=50
BDCQ.SEA1AA,2015.09,84529,84529?compressed=50
BDCQ.SEA1AA,2015.12,96848,96848?compressed=50
BDCQ.SEA1AA,2016.03,99291,99291?compressed=50
BDCQ.SEA1AA,2016.06,88716,88716?compressed=50
BDCQ.SEA1AA,2016.09,85933,85933?compressed=50
BDCQ.SEA1AA,2016.12,96540,96540?compressed=50
BDCQ.SEA1AA,2017.03,98994,98994?compressed=50
BDCQ.SEA1AA,2017.06,90510,90510?compressed=50
BDCQ.SEA1AA,2017.09,87089,87089?compressed=50
BDCQ.SEA1AA,2017.12,98933,98933?compressed=50
BDCQ.SEA1AA,2018.03,101168,101168?compressed=50
BDCQ.SEA1AA,2018.06,90766,90766?compressed=50
BDCQ.SEA1AA,2018.09,86929,86929?compressed=50
BDCQ.SEA1AA,2018.12,100290,100290?compressed=50
BDCQ.SEA1AA,2019.03,102031,102031?compressed=50
BDCQ.SEA1AA,2019.06,90836,90836?compressed=50
BDCQ.SEA1AA,2019.09,88032,88032?compressed=50
BDCQ.SEA1AA,2019.12,100531,100531?compressed=50
BDCQ.SEA1AA,2020.03,100947,100947?compressed=50
BDCQ.SEA1AA,2020.06,93239,93239?compressed=50
BDCQ.SEA1AA,2020.09,93706,93706?compressed=50
BDCQ.SEA1AA,2020.12,103593,103593?compressed=50
BDCQ.SEA1AA,2021.03,102002,102002?compressed=50
BDCQ.SEA1AA,2021.06,93431,93431?compressed=50
BDCQ.SEA1AA,2021.09,92353,92353?compressed=50
BDCQ.SEA1AA,2021.12,102896,102896?compressed=50
BDCQ.SEA1AA,2022.03,101092,101092?compressed=50
BDCQ.SEA1AA,2022.06,94757,94757?compressed=50
BDCQ.SEA1AA,2022.09,91674,91674?compressed=50
BDCQ.SEA1AA,2022.12,99680,99680?compressed=50
BDCQ.SEA1AA,2023.03,98706,98706?compressed=50
BDCQ.SEA1AA,2023.06,92576,92576?compressed=50
BDCQ.SEA1AA,2023.09,90647,90647?compressed=50
BDCQ.SEA1AA,2023.12,100561,100561?compressed=50
BDCQ.SEA1AA,2024.03,100429,100429?compressed=50
BDCQ.SEA1AA,2024.06,92037,92037?compressed=50
BDCQ.SEA1AA,2024.09,90079,90079?compressed=50
BDCQ.SEA1AS,2011.06,83851,83851?compressed=50
BDCQ.SEA1AS,2011.09,84142,84142?compressed=50
BDCQ.SEA1AS,2011.12,82663,82663?compressed=50
BDCQ.SEA1AS,2012.03,84321,84321?compressed=50
BDCQ.SEA1AS,2012.06,85700,85700?compressed=50
BDCQ.SEA1AS,2012.09,85208,85208?compressed=50
BDCQ.SEA1AS,2012.12,84420,84420?compressed=50
BDCQ.SEA1AS,2013.03,85085,85085?compressed=50
BDCQ.SEA1AS,2013.06,85658,85658?compressed=50
BDCQ.SEA1AS,2013.09,87742,87742?compressed=50
BDCQ.SEA1AS,2013.12,90098,90098?compressed=50
BDCQ.SEA1AS,2014.03,90413,90413?compressed=50
BDCQ.SEA1AS,2014.06,90029,90029?compressed=50
BDCQ.SEA1AS,2014.09,91075,91075?compressed=50
BDCQ.SEA1AS,2014.12,91007,91007?compressed=50
BDCQ.SEA1AS,2015.03,91515,91515?compressed=50
BDCQ.SEA1AS,2015.06,92019,92019?compressed=50
BDCQ.SEA1AS,2015.09,91355,91355?compressed=50
BDCQ.SEA1AS,2015.12,92546,92546?compressed=50
BDCQ.SEA1AS,2016.03,92748,92748?compressed=50
BDCQ.SEA1AS,2016.06,92576,92576?compressed=50
BDCQ.SEA1AS,2016.09,92920,92920?compressed=50
BDCQ.SEA1AS,2016.12,92189,92189?compressed=50
BDCQ.SEA1AS,2017.03,92656,92656?compressed=50
BDCQ.SEA1AS,2017.06,94320,94320?compressed=50
BDCQ.SEA1AS,2017.09,94201,94201?compressed=50
BDCQ.SEA1AS,2017.12,94258,94258?compressed=50
BDCQ.SEA1AS,2018.03,94943,94943?compressed=50
BDCQ.SEA1AS,2018.06,94735,94735?compressed=50
BDCQ.SEA1AS,2018.09,93702,93702?compressed=50
BDCQ.SEA1AS,2018.12,95345,95345?compressed=50
BDCQ.SEA1AS,2019.03,96205,96205?compressed=50
BDCQ.SEA1AS,2019.06,94948,94948?compressed=50
BDCQ.SEA1AS,2019.09,94339,94339?compressed=50
BDCQ.SEA1AS,2019.12,95432,95432?compressed=50
BDCQ.SEA1AS,2020.03,95826,95826?compressed=50
BDCQ.SEA1AS,2020.06,97445,97445?compressed=50
BDCQ.SEA1AS,2020.09,99659,99659?compressed=50
BDCQ.SEA1AS,2020.12,98474,98474?compressed=50
BDCQ.SEA1AS,2021.03,97450,97450?compressed=50
BDCQ.SEA1AS,2021.06,97324,97324?compressed=50
BDCQ.SEA1AS,2021.09,97770,97770?compressed=50
BDCQ.SEA1AS,2021.12,98044,98044?compressed=50
BDCQ.SEA1AS,2022.03,96955,96955?compressed=50
BDCQ.SEA1AS,2022.06,98337,98337?compressed=50
BDCQ.SEA1AS,2022.09,96876,96876?compressed=50
BDCQ.SEA1AS,2022.12,95210,95210?compressed=50
BDCQ.SEA1AS,2023.03,94754,94754?compressed=50
BDCQ.SEA1AS,2023.06,95847,95847?compressed=50
BDCQ.SEA1AS,2023.09,95828,95828?compressed=50
BDCQ.SEA1AS,2023.12,96156,96156?compressed=50
BDCQ.SEA1AS,2024.03,96339,96339?compressed=50
BDCQ.SEA1AS,2024.06,95282,95282?compressed=50
BDCQ.SEA1AS,2024.09,95236,95236?compressed=50
BDCQ.SEA1AT,2011.06,83962,83962?compressed=50
BDCQ.SEA1AT,2011.09,83978,83978?compressed=50
BDCQ.SEA1AT,2011.12,83924,83924?compressed=50
BDCQ.SEA1AT,2012.03,84528,84528?compressed=50
BDCQ.SEA1AT,2012.06,85382,85382?compressed=50
BDCQ.SEA1AT,2012.09,85195,85195?compressed=50
BDCQ.SEA1AT,2012.12,84662,84662?compressed=50
BDCQ.SEA1AT,2013.03,84853,84853?compressed=50
BDCQ.SEA1AT,2013.06,85867,85867?compressed=50
BDCQ.SEA1AT,2013.09,87821,87821?compressed=50
BDCQ.SEA1AT,2013.12,89828,89828?compressed=50
BDCQ.SEA1AT,2014.03,90363,90363?compressed=50
BDCQ.SEA1AT,2014.06,90388,90388?compressed=50
BDCQ.SEA1AT,2014.09,90773,90773?compressed=50
BDCQ.SEA1AT,2014.12,91172,91172?compressed=50
BDCQ.SEA1AT,2015.03,91558,91558?compressed=50
BDCQ.SEA1AT,2015.06,91713,91713?compressed=50
BDCQ.SEA1AT,2015.09,91788,91788?compressed=50
BDCQ.SEA1AT,2015.12,92293,92293?compressed=50
BDCQ.SEA1AT,2016.03,92727,92727?compressed=50
BDCQ.SEA1AT,2016.06,92758,92758?compressed=50
BDCQ.SEA1AT,2016.09,92636,92636?compressed=50
BDCQ.SEA1AT,2016.12,92356,92356?compressed=50
BDCQ.SEA1AT,2017.03,92875,92875?compressed=50
BDCQ.SEA1AT,2017.06,93957,93957?compressed=50
BDCQ.SEA1AT,2017.09,94311,94311?compressed=50
BDCQ.SEA1AT,2017.12,94403,94403?compressed=50
BDCQ.SEA1AT,2018.03,94793,94793?compressed=50
BDCQ.SEA1AT,2018.06,94615,94615?compressed=50
BDCQ.SEA1AT,2018.09,94464,94464?compressed=50
BDCQ.SEA1AT,2018.12,95321,95321?compressed=50
BDCQ.SEA1AT,2019.03,95871,95871?compressed=50
BDCQ.SEA1AT,2019.06,95073,95073?compressed=50
BDCQ.SEA1AT,2019.09,94592,94592?compressed=50
BDCQ.SEA1AT,2019.12,95114,95114?compressed=50
BDCQ.SEA1AT,2020.03,96021,96021?compressed=50
BDCQ.SEA1AT,2020.06,97663,97663?compressed=50
BDCQ.SEA1AT,2020.09,99049,99049?compressed=50
BDCQ.SEA1AT,2020.12,98652,98652?compressed=50
BDCQ.SEA1AT,2021.03,97535,97535?compressed=50
BDCQ.SEA1AT,2021.06,97354,97354?compressed=50
BDCQ.SEA1AT,2021.09,97706,97706?compressed=50
BDCQ.SEA1AT,2021.12,98060,98060?compressed=50
BDCQ.SEA1AT,2022.03,98361,98361?compressed=50
BDCQ.SEA1AT,2022.06,98138,98138?compressed=50
BDCQ.SEA1AT,2022.09,96869,96869?compressed=50
BDCQ.SEA1AT,2022.12,95289,95289?compressed=50
BDCQ.SEA1AT,2023.03,94975,94975?compressed=50
BDCQ.SEA1AT,2023.06,95544,95544?compressed=50
BDCQ.SEA1AT,2023.09,95971,95971?compressed=50
BDCQ.SEA1AT,2023.12,96200,96200?compressed=50
BDCQ.SEA1AT,2024.03,96093,96093?compressed=50
BDCQ.SEA1AT,2024.06,95512,95512?compressed=50
BDCQ.SEA1AT,2024.09,95205,95205?compressed=50
BDCQ.SEA1BA,2011.06,5234,5234?compressed=50
BDCQ.SEA1BA,2011.09,5268,5268?compressed=50
BDCQ.SEA1BA,2011.12,5499,5499?compressed=50
BDCQ.SEA1BA,2012.03,5811,5811?compressed=50
BDCQ.SEA1BA,2012.06,5847,5847?compressed=50
BDCQ.SEA1BA,2012.09,5922,5922?compressed=50
BDCQ.SEA1BA,2012.12,5722,5722?compressed=50
